snapshot_date,snapshot_time,snapshot_time_zone,spotify_snapshot_id,playlist_name,followers_count,playlist_tracks_count,track_id,track_name,track_rank_in_playlist,track_added_on,track_spotify_popularity,track_duration_ms,album_name,album_id,album_type,album_release_date,tracks_in_album,main_artist,main_artist_id,artist_genre,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,531KGXtBroSrOX9LVmiIgc,Starlight,1,2022-03-13,83,211935,Starlight,1WLS1NrOlbDIl760hVeeUi,single,2022-03-03,1,Dave,6Ip8FS7vWT1uKkJSweANQK,uk hip hop,0.954,0.367,5.48e-06,0.0979,-9.551,0.288,124.026
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,3pudQCMnsFGwOElTZmuml8,Baby,2,2022-03-13,67,177733,Baby,4ag07Nbz1xUcFWU17JNh1r,single,2022-03-10,1,Aitch,2PJEagPIxaBugeMjIyKVXF,manchester hip hop,0.769,0.868,0,0.159,-5.772,0.214,103.909
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,02MWAaffLxlfxAUY7c5dvx,Heat Waves,3,2022-03-13,95,238805,Dreamland (+ Bonus Levels),0KTj6k94XZh0c6IEMfxeWV,album,2020-08-06,18,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,gauze pop,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,52xJxFP6TqMuO4Yt0eOkMz,We Don't Talk About Bruno,4,2022-03-13,96,216120,Encanto (Original Motion Picture Soundtrack),25L8ck3KGcmCo3901ztPzR,album,2021-11-19,44,Lin-Manuel Miranda,4aXXDj9aZnlshx7mzj3W1N,hollywood,0.577,0.45,0,0.111,-8.516,0.0834,205.863
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,3M4lhhcss897JQ0qUp2g8B,BMW,5,2022-03-13,69,213880,Disrespectful,73fDT1q6Y3ADL0hokKEnvG,album,2022-02-18,16,Bad Boy Chiller Crew,5SRr4ZJMoygWecytkIwlaV,indie hip hop,0.72,0.817,0,0.336,-5.5,0.134,137.964
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,3Oww84xrmgjyr5J1ilOmAf,Down Under (feat. Colin Hay),6,2022-03-13,74,158774,Down Under (feat. Colin Hay),6jwTcGQIb9PZaZinJGqgVX,single,2021-11-19,1,Luude,20cmhoGvN0eyzhmsHJH1Mg,aussietronica,0.308,0.86,0.000828,0.277,-4.111,0.168,171.835
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,7,2022-03-13,95,148197,Where Are You Now,5YrOK7zze6egKg9a8WRcnD,single,2021-07-30,1,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,belgian edm,0.671,0.636,0.000411,0.172,-8.117,0.103,120.966
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,4CUX44NA1CPEzd0ibMLQsL,Make Me Feel Good,8,2022-03-13,81,197472,Make Me Feel Good,2YNIYdATkvFpTKZexocmEi,single,2021-11-26,1,Belters Only,1H1sDUWSlytzifZTDpKgUA,,0.773,0.74,0.00183,0.0829,-8.169,0.0386,124.014
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,4hJhHbkhZFnxmWbAkZRoe0,Peru,9,2022-03-13,78,187111,Peru,5SLXbErenG3tJrVdIMpQHk,single,2021-12-24,1,Fireboy DML,75VKfyoBlkmrJFDqo1o2VY,,0.956,0.417,0.00071,0.0782,-7.892,0.0926,108.015
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,337kcYVjYXdLBItCw9ry3b,Overseas,10,2022-03-13,80,222154,Home Alone 2,50ez0rCXWIf3s5cvcALStA,album,2021-11-19,23,D-Block Europe,5VadK1havLhK1OpKYsXv9y,uk hip hop,0.838,0.623,0,0.307,-7.524,0.354,135.935
